player_id,session_id,level,card_count,shuffle_moves,memorize_time,accuracy,mistakes,reaction_time,completion_time,best_streak,target
0.0,0,7,6,4,2.736661337976251,0.5634060374117705,5,2.684664550656908,34.84526757842917,5,1
0.0,1,8,4,8,6.799131535683891,0.541506418327662,1,2.475817343474083,24.954061782821356,5,1
0.0,2,2,6,12,6.935503255470044,0.6569489496819091,1,2.3895472579365764,29.251770433564,3,1
0.0,3,6,4,9,3.5043839633695866,0.4408091589123255,5,2.0614316492408813,27.34246554278041,3,0
0.0,4,5,4,9,4.623160378143461,0.5990862613475787,4,2.4576780869784844,24.28219832712378,5,1
0.0,5,9,3,3,2.639589518802631,0.5696625179159515,1,2.8063521558016555,29.90639419515206,6,1
0.0,6,3,6,13,6.844581510900567,0.5847237054191335,3,2.8074086222188326,32.54869369146296,6,1
0.0,7,10,2,8,5.334839488623078,0.6215366287442698,2,2.250350682043579,31.93102534652071,4,1
0.0,8,3,3,12,6.973492844904064,0.6301044962775693,1,2.1493788024972087,28.595679157474194,3,0
0.0,9,1,5,14,5.969931050483249,0.5758168187381263,4,2.3806462922994505,28.964384766387315,0,0
1.0,0,2,4,12,7.987604663200025,0.6478260187797024,6,2.2375965976878174,33.16721954498314,2,0
1.0,1,2,5,3,3.4016465062994596,0.5571166194878061,0,1.9992313540225926,24.952366344480165,4,1
1.0,2,6,8,9,4.804409067499218,0.42039164907522797,6,2.8283868058539205,31.596175916357183,2,0
1.0,3,5,8,8,7.302715309780554,0.4781433317070141,5,2.7124166840728234,30.666470285373435,2,0
1.0,4,9,5,6,2.5489210243865292,0.4720368586154478,6,2.821913412818404,32.03354119872515,3,0
1.0,5,6,6,13,2.656813160326723,0.4344776231189341,4,2.7894996594425665,35.828679175345584,6,1
1.0,6,9,6,12,3.4321401878061053,0.4062337630595344,4,2.952654668194839,32.546530118329905,1,0
1.0,7,2,8,14,5.044806402565017,0.5287165766282176,0,2.84604645575334,27.81298593964668,6,1
1.0,8,7,3,10,7.777952023153968,0.617886556338484,4,2.186201290502155,32.90211316238327,2,0
1.0,9,10,4,3,7.229220836914258,0.48836481241957613,5,2.8484513976521395,30.244547775714913,5,0
2.0,0,7,6,14,3.790246585939956,0.5313639884288419,1,2.7589537934014157,27.438138191827,4,1
2.0,1,8,5,3,7.186149499037822,0.558275771134353,4,2.4884360557269267,30.960233480984375,3,0
2.0,2,10,4,5,6.779223745857058,0.5173820830312,2,2.4251851271972362,30.25483181708149,2,0
2.0,3,8,4,14,2.897483856005395,0.4509052850382223,8,2.782447197354653,34.905085647049106,1,0
2.0,4,6,8,13,6.214789823264624,0.49758231852944684,2,2.647215360184289,32.15149431469948,1,0
2.0,5,2,8,8,3.205154539173765,0.549906206728249,2,2.555933199858714,31.403854728186662,5,1
2.0,6,8,3,13,6.810368498418751,0.6205791480425957,2,2.3308906298823016,29.816436827651554,4,1
2.0,7,7,5,14,4.875673571457724,0.59647732148834,5,2.6676665300429447,26.024695125185815,2,0
2.0,8,6,2,8,4.775737740435898,0.6343562373909638,3,2.4086560521895772,29.09964156371914,9,1
2.0,9,2,6,2,2.789406110763559,0.6624646950715829,3,2.2887985117183676,32.12812893666266,6,1
3.0,0,9,2,13,3.5488005962067652,0.38020192542740977,4,3.0923847887438582,26.35837495045525,3,0
3.0,1,1,2,7,3.005715297729906,0.5660806965545108,0,2.65785465248089,31.664093003352466,6,1
3.0,2,2,8,3,2.73782485117776,0.4060385552810166,1,2.907316179910024,32.23224769910456,4,1
3.0,3,9,3,14,7.207509767120133,0.4042389498602182,4,2.6587048928814334,34.40389004270372,2,0
3.0,4,8,6,7,7.208853526265032,0.4735658934698127,7,2.672436279302636,33.18215560243346,3,1
3.0,5,5,2,11,4.091442003451823,0.5222918385278215,2,2.6051084983337907,30.909802568795516,1,0
3.0,6,2,6,7,3.962198969379432,0.5402449324199013,4,2.8269080289400454,30.28336375318878,3,1
3.0,7,9,2,2,5.27412133097284,0.5083707022477642,1,2.407702370350631,30.894839318301255,8,1
3.0,8,5,3,6,3.4764179527879895,0.38299256652206154,7,2.551727255772174,30.50837606245576,3,0
3.0,9,4,6,5,6.02057620766565,0.5087427331699387,3,2.563231235938811,35.39970035803934,5,1
4.0,0,7,2,11,3.111370679284458,0.6711483404991295,0,2.2192167478228666,27.139958335749622,2,1
4.0,1,6,8,6,7.305238780090447,0.7054378522266755,1,1.8840918995042888,35.081551932728146,8,1
4.0,2,2,4,5,2.898223807741746,0.66971052553542,2,1.8437070483954747,22.511774279647888,6,0
4.0,3,9,3,4,5.58228150137415,0.6981226491222275,2,2.225401259762642,26.42659326316002,8,1
4.0,4,6,2,8,2.41654305647656,0.6603288004096185,2,1.9983003618440005,28.662908072077094,9,1
4.0,5,10,5,6,3.0518176541459576,0.6655220937310359,2,2.224569716928239,28.148623470444843,7,1
4.0,6,5,5,9,6.611598828731051,0.7243620699435662,0,1.8036839025417275,30.64904766923638,5,1
4.0,7,7,3,14,4.160818444829115,0.6215991762236588,0,2.1542996922488933,31.610207288029603,9,1
4.0,8,1,3,7,6.904698250947149,0.8155423320498192,3,1.6890702069322217,24.089344456902648,10,1
4.0,9,6,8,14,3.9051886872604222,0.5503878017474277,3,2.5592733410201327,22.22380154380659,3,0
5.0,0,4,3,14,2.6339881055704635,0.38561776684776,3,2.976205732319874,31.229215227084214,0,0
5.0,1,2,6,9,3.784130289421033,0.5265824522471657,2,2.6940165102036127,34.17819823105095,3,1
5.0,2,8,2,6,5.6913166293860655,0.5242897625327547,2,2.4539505008448015,30.167897749984288,2,1
5.0,3,7,6,14,6.615829361848039,0.4442643091482436,0,2.916826477909044,26.295274110112047,0,1
5.0,4,5,3,8,2.8226582343739945,0.39089507327138207,0,2.828646892378385,28.084161667022272,3,1
5.0,5,10,8,5,7.187962352842506,0.376878510129757,7,3.1465455503993733,32.577942691418244,2,0
5.0,6,1,3,3,2.2305580937739498,0.5218711949202793,5,2.7655670821833542,24.859138112829193,3,0
5.0,7,9,4,2,2.43250601599204,0.4361020476213006,1,2.6318280754302084,29.517618562036823,3,1
5.0,8,10,6,6,5.961816318208029,0.35725158393798423,1,3.2027623691335614,35.823735457421385,1,1
5.0,9,1,5,5,6.647802683826728,0.5808761064755273,2,2.910032896326091,34.30097321479727,4,1
6.0,0,8,3,8,2.570070193953828,0.655487467824197,1,1.8598896512699712,30.849867748228412,2,1
6.0,1,5,4,11,6.895681633811703,0.6347324143293239,5,2.279160999022827,30.799051421372994,6,0
6.0,2,2,3,14,6.11178809669524,0.6109149178686942,2,2.0781558323190623,29.388669899888903,2,0
6.0,3,9,6,9,4.76934484651874,0.6375681802875902,0,2.61149948954829,29.12481097717314,4,1
6.0,4,10,6,8,5.689869442046794,0.5166593497743817,5,2.742446210169842,34.377035909509374,5,0
6.0,5,4,5,11,7.317174682790447,0.680895262583634,3,2.4212921332885564,26.963129728225436,4,0
